2019-08-23 22:45:12.167 INFO  Log4jDataConfigProvider:l - log created
23-08-2019 22:45:57.447 INFO  Log4jDataConfigProvider:com.nichethyself.utilities.Log4jDataConfigProvider.main(Log4jDataConfigProvider.java:19) - log created
23-08-2019 22:55:41.531 INFO  BrowserConfigDataProvider:com.nichethyself.utilities.BrowserConfigDataProvider.<init>(BrowserConfigDataProvider.java:22) - File loaded successfully
23-08-2019 22:55:44.533 INFO  BaseClass:com.nichethyself.testcases.BaseClass.setup(BaseClass.java:48) - sucessfully loaded all browser confiration
23-08-2019 22:55:44.620 INFO  LoginTestNT:com.nichethyself.testcases.LoginTestNT.loginApp(LoginTestNT.java:18) - driver loaded sucessfully
23-08-2019 22:55:44.874 INFO  LoginTestNT:com.nichethyself.testcases.LoginTestNT.loginApp(LoginTestNT.java:21) - login sucessfully
23-08-2019 23:03:55.602 INFO  BrowserConfigDataProvider:22 - File loaded successfully
23-08-2019 23:03:58.307 INFO  BaseClass:48 - sucessfully loaded all browser confiration
23-08-2019 23:03:58.397 INFO  LoginTestNT:18 - driver loaded sucessfully
23-08-2019 23:03:58.668 INFO  LoginTestNT:21 - login sucessfully
23-08-2019 23:09:16.456 INFO  BrowserConfigDataProvider:22 - File loaded successfully
23-08-2019 23:09:19.758 INFO  BaseClass:49 - sucessfully loaded all browser confiration
23-08-2019 23:09:19.850 INFO  LoginTestNT:19 - driver loaded sucessfully
23-08-2019 23:09:20.111 INFO  LoginTestNT:24 - login sucessfully
23-08-2019 23:22:02.829 INFO  BrowserConfigDataProvider:22 - File loaded successfully
23-08-2019 23:22:06.530 INFO  BaseClass:49 - sucessfully loaded all browser confiration
23-08-2019 23:22:06.592 INFO  LoginTestNT:19 - driver loaded sucessfully
23-08-2019 23:22:06.832 INFO  LoginTestNT:24 - login sucessfully
